1950;1;2
1957;2;2
1960;1;1
1972;2;1
1998;2;0
1929;2;2
1944;1;2
1949;2;2
1975;2;1
1999;1;0
1944;2;2
1965;1;0
1970;2;1
1998;1;0
1944;1;2
1945;2;2
1970;2;2
1994;2;0
1997;1;0
1977;1;0
1979;2;0
1968;1;0
1986;2;0
1946;1;2
1952;2;2
1941;1;2
1944;2;2
1968;1;2
1990;2;0
1994;1;0
1977;1;2
1977;2;2
1995;2;0
2003;2;0
1950;1;1
1954;2;1
1948;1;2
1958;2;2
1976;1;0
1979;1;0
1955;2;1
1981;1;0
1927;1;3
1930;2;3
1926;2;2
1949;1;0
1955;2;1
1968;1;2
1969;2;2
1992;2;0
1997;1;0
1929;1;2
1935;2;2
1929;1;2
1933;2;3
1957;1;2
1961;2;2
1987;1;0
1990;2;0
1945;1;1
1944;2;1
1934;1;1
1946;2;1
1977;2;0
1933;1;1
1938;2;1
1928;1;1
1931;2;1
1958;1;0
1929;1;0
1968;1;1
1973;2;1
1997;2;0
1927;2;0
1969;1;2
1972;2;1
2000;1;0
1943;2;1
1959;1;3
1967;2;2
1993;1;0
2001;2;0
1931;2;4
1959;1;0
1951;2;0
1947;2;0
1967;1;3
1977;2;3
1996;1;0
1998;2;0
2002;1;0
1938;2;3
1962;1;2
1946;2;2
1976;1;1
1974;2;2
1996;1;0
2003;2;0
1920;1;2
1930;2;2
1951;2;3
1991;2;0
1963;1;3
1971;2;3
1994;2;0
2000;2;0
2004;1;0
1963;2;1
1982;1;0
1938;2;2
1912;1;1
1919;2;1
1939;1;1
1943;2;1
1965;1;0
1939;1;1
1947;2;1
1919;2;1
1968;1;0
1945;1;2
1950;2;2
1972;1;0
1977;1;1
1943;1;1
1950;2;0
1932;2;2
1956;1;2
1985;1;0
1990;1;0
1920;2;2
1937;1;2
1944;2;2
1948;1;1
1947;2;2
1927;1;2
1969;1;2
1975;2;2
2004;1;0
2004;2;0
1972;2;0
1944;2;2
1932;1;1
1936;2;1
1948;1;1
1954;2;3
1980;2;0
1952;2;3
1949;1;3
1975;1;0
1977;2;0
1981;1;0
1943;2;2
1940;1;2
1956;1;2
1956;2;2
1977;2;0
1982;2;0
1931;1;1
1934;2;1
1965;1;1
1978;2;1
2001;1;0
1954;2;2
1951;1;2
1973;1;0
1978;2;0
1971;1;2
1978;2;1
1999;1;0
1937;1;1
1936;2;1
1975;1;1
1976;2;1
2002;2;0
1956;2;3
1989;1;0
1979;2;0
1956;1;1
1943;2;3
1980;1;0
1961;1;2
1965;2;2
1988;1;0
1991;1;0
1949;2;3
1953;1;3
1966;2;1
1991;2;0
1966;1;2
1968;2;2
1991;1;0
1992;1;0
1962;1;0
1977;1;1
1980;2;1
2001;1;0
1974;1;2
1973;2;2
2002;1;0
2004;2;0
1933;1;0
1936;2;0
1953;2;1
1953;1;1
1988;1;0
1941;2;2
1962;2;0
1972;2;0
1933;2;1
1977;1;0
1931;2;1
1983;2;0
1926;2;1
1970;2;2
1994;2;0
1998;2;0
1947;1;2
1970;1;0
1976;1;1
1950;1;0
1948;2;2
1969;1;0
1952;1;2
1953;2;2
1977;1;0
1983;2;0
1969;1;1
1969;2;1
1993;2;0
1950;2;2
1972;1;1
1983;2;0
1963;1;1
1965;2;1
1986;2;0
1958;1;1
1976;2;1
2000;1;0
1942;1;2
1946;2;2
1922;1;1
1930;1;1
1933;2;1
1946;1;2
1949;2;2
1943;2;2
1959;1;1
1950;2;1
1988;2;0
1980;1;0
1980;2;1
2004;1;0
1974;2;1
1997;2;0
1931;2;1
1974;2;1
2003;1;0
1931;2;3
1973;1;0
1975;2;0
1931;1;2
1936;2;0
1965;2;1
1989;1;0
1931;2;3
1966;1;2
1970;2;0
1959;1;2
1958;2;1
1992;2;0
1923;2;3
1960;1;0
1972;1;2
1973;2;2
1998;2;0
2001;1;0
1942;1;1
1949;2;1
1923;1;1
1936;2;1
1943;1;3
1964;2;3
1999;2;0
2001;2;0
2003;1;0
1949;1;2
1954;2;2
1978;1;0
1975;1;1
1999;1;0
1960;1;1
1962;2;1
1986;1;0
1965;1;1
1966;2;1
1994;1;0
1944;1;2
1945;2;2
1937;1;1
1962;2;0
1946;2;2
1943;1;2
1946;2;2
1922;1;1
1927;2;1
1953;1;1
1956;2;1
1981;2;0
1929;2;1
1928;1;1
1942;1;1
1941;2;1
1945;2;2
1949;1;3
1971;1;0
1931;1;2
1932;2;2
1977;1;0
1940;1;1
1969;1;2
1973;2;2
2000;1;0
2004;1;0
1954;1;2
1961;2;2
1986;1;0
1988;1;0
1948;1;2
1955;2;2
1979;2;0
1983;1;0
1949;1;1
1949;2;1
1981;1;0
1947;1;2
1950;2;2
1974;1;2
1973;2;2
2002;1;0
2004;1;0
1959;1;3
1962;2;3
1985;2;0
1987;2;0
1993;1;0
1953;1;3
1976;2;2
1996;1;0
1999;1;0
1937;1;4
1942;2;4
1960;2;2
1994;2;0
1997;2;0
1934;2;1
1949;1;1
1944;2;0
1972;1;2
1974;2;2
1996;1;0
1998;2;0
1960;1;2
1961;2;2
1992;1;0
1994;1;0
1947;1;2
1949;2;2
1976;2;0
1934;2;1
1933;1;3
1937;2;3
1972;2;2
1969;1;2
1997;1;0
1999;1;0
1928;2;1
1977;2;0
1976;1;0
1963;1;0
1957;2;2
1955;2;0
1941;2;2
1941;1;2
1971;1;2
1973;2;2
2001;2;0
2003;1;0
1975;1;0
1974;2;0
1961;1;2
1964;2;2
1987;1;0
1989;2;0
1956;1;2
1957;2;0
1937;2;1
1958;1;2
1957;2;2
1981;2;0
1990;2;0
1940;1;1
1944;2;1
1975;1;2
2004;1;0
1931;1;2
1933;2;2
1959;1;2
1965;2;1
1999;2;0
1938;1;1
1941;2;1
1977;1;0
1952;1;2
1955;2;2
1982;1;0
1959;1;2
1959;2;2
1989;2;0
1996;1;0
1956;1;0
1948;2;0
1956;1;0
1962;2;2
1988;1;0
1990;1;0
1925;1;2
1931;2;2
1944;2;1
1955;1;3
1977;1;0
1979;2;0
1942;2;3
1944;1;0
1963;1;2
1965;2;2
1984;2;0
1987;1;0
1933;2;2
1969;1;0
1974;2;0
1949;2;3
1982;1;0
1986;1;0
1990;1;0
1969;1;2
1971;2;2
1994;2;0
1996;2;0
1914;2;1
1954;1;1
1953;2;1
1982;1;0
1955;1;3
1954;2;3
1979;1;0
1980;1;0
1976;1;0
1976;2;0
1958;1;2
1960;2;0
1968;1;2
1973;2;2
2000;2;0
2004;1;0
1926;1;2
1972;1;1
1971;2;1
1994;2;0
1955;1;2
1960;2;2
1978;2;0
1980;2;1
2003;1;0
1954;1;2
1961;2;1
1951;1;1
1952;2;1
1972;2;0
1955;1;1
1948;2;2
1980;1;0
1984;2;0
1938;2;0
1949;1;2
1972;1;0
1971;2;2
1991;2;0
1993;1;0
1943;2;2
1974;2;0
1941;1;2
1947;2;2
1946;1;2
1951;2;2
1971;1;0
1973;1;0
1976;2;2
1991;2;0
1997;1;0
1958;1;3
1960;2;3
1987;1;0
1993;2;0
1977;1;2
1975;2;2
1996;2;0
1999;1;0
1926;2;3
1964;1;1
1963;2;1
1988;2;0
1959;1;1
1962;2;1
1997;2;0
1932;1;1
1937;2;1
1922;1;2
1931;2;2
1951;1;0
1953;2;0
1968;1;3
1967;2;3
1987;2;0
1991;1;0
1996;2;0
1973;1;2
1980;2;2
2003;1;0
1999;1;0
1967;2;1
1973;1;1
2001;1;0
1937;1;1
1964;1;2
1967;2;2
1993;2;0
1997;1;0
1969;2;2
1990;2;0
1994;1;0
1932;1;2
1938;2;2
1977;1;1
1976;2;1
2004;2;0
1925;2;0
1940;1;1
1938;2;1
1925;2;3
1922;2;3
1926;2;0
1930;2;5
1949;1;3
1949;2;0
1941;1;2
1946;2;2
1968;1;2
1969;2;2
1992;2;0
1996;1;0
1939;1;3
1949;1;3
1955;2;0
1972;1;0
1974;1;0
1954;1;2
1954;2;2
1983;2;0
1949;2;2
1931;2;3
1955;1;0
1948;1;3
1950;2;3
1976;2;0
1973;1;0
1953;1;0
1962;1;2
1948;1;1
1951;2;1
1961;1;4
1967;2;4
1987;2;0
1990;2;0
1992;2;0
2001;2;0
